PastMode,presentPositionEntered,ACAIRB=Yes,IMSAUTOC=On,Desig,Data23=Sea,CAstageComplete,CLstageComplete,NDstageComplete,HSstageComplete,PNLTEST=TEST,IMSup,latitude>70,latitude>80,DopplerUp,DopplerCoupled,IMSMODE=Gndal,IMSMODE=Norm,IMSMODE=Iner,IMSMODE=MagSl,IMSMODE=Grid,AirVelocityTestPassed,PitchSmall AND RollSmall,SINSup,SINSvelocityTestPassed,LandVelocityTestPassed,NoInterveningTakeoff,GroundTestFinished,CurrentMode
I,T,f,,,f,,,,,,,,,,,t,,,,,,,,,,,,Landaln
I,T,f,,,t,,,,,,,,,,,t,,,,,,,t,,,,,SINSaln
I,,f,,,f,,,,,,,,,,,T,,,,,,,,,t,f,,01Update
I,,f,,T,f,,,,,,,,,,,,,,,,,,,,,,,HUDaln
I,T,f,,,,,,,,,,,,,,,t,,,,,,,,,,,OLB
I,T,f,,,,,,,,,,,,,,,,t,,,,,,,,,,OLB
I,T,f,,,t,,,,,,,,,,,t,,,,,,,f,,,,,OLB
I,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
I,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
I,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
I,,f,,,,,,,,,,,T,,,,,,,,,,,,,,,PolarI
I,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
OLB,,f,,,f,,,,,,,,,,,T,,,,,,,,,,,,Landaln
OLB,T,f,,,t,,,,,,,,,,,t,,,,,,,t,,,,,SINSaln
OLB,,f,,T,f,,,,,,,,,,,,,,,,,,,,,,,HUDaln
OLB,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
OLB,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
OLB,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
OLB,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
MagSl,,f,,,f,,,,,,,,,,,T,,,,,,,,,,,,Landaln
MagSl,,f,,,,,,,,,,,,,,,,T,,,,,,,,,,OLB
MagSl,,f,,,,,,,,,,,,,,,T,,,,,,,,,,,OLB
MagSl,,f,,,t,,,,,,,,,,,T,,,,,,,,,,,,OLB
MagSl,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
MagSl,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
MagSl,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
Grid,,f,,,f,,,,,,,,,,,T,,,,,,,,,,,,Landaln
Grid,,f,,,,,,,,,,,,,,,,T,,,,,,,,,,OLB
Grid,,f,,,,,,,,,,,,,,,T,,,,,,,,,,,OLB
Grid,,f,,,t,,,,,,,,,,,T,,,,,,,,,,,,OLB
Grid,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
Grid,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,Grid
Grid,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
IMSfail,,f,,,f,,,,,,T,,,,,t,,,,,,,,,,,,Landaln
IMSfail,,f,,,,,,,,,T,,,,,,,t,,,,,,,,,,OLB
IMSfail,,f,,,,,,,,,T,,,,,,t,,,,,,,,,,,OLB
IMSfail,,f,,,t,,,,,,T,,,,,t,,,,,,,,,,,,OLB
IMSfail,,f,,,,,,,,,T,,,,,,,,t,,,,,,,,,MagSl
IMSfail,,f,,,,,,,,,T,,,,,,,,,t,,,,,,,,Grid
IMSfail,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
PolarI,,f,,,f,,,,,,,,,,,T,,,,,,,,,,t,,Landaln
PolarI,T,f,,,f,,,,,,,,,,,t,,,,,,,,,,,,Landaln
PolarI,T,f,,,t,,,,,,,,,,,t,,,,,,,t,,,,,SINSaln
PolarI,,f,,,f,,,,,,,,,,,T,,,,,,,,,t,f,,01Update
PolarI,,f,,T,f,,,,,,,,,,,,,,,,,,,,,,,HUDaln
PolarI,T,f,,,,,,,,,,,,,,,t,,,,,,,,,,,OLB
PolarI,T,f,,,,,,,,,,,,,,,,t,,,,,,,,,,OLB
PolarI,T,f,,,t,,,,,,,,,,,t,,,,,,,f,,,,,OLB
PolarI,,f,,,,,,,,,,,,,,,,,T,,,,,,,,,MagSl
PolarI,,f,,,,,,,,,,,,,,,,,,T,,,,,,,,Grid
PolarI,,f,,,,,,,,f,F,,,,,,,,,,,,,,,,,IMSfail
PolarI,,f,,,,,,,,T,,,,,,,,,,,,,,,,,,Grtest
Grtest,,f,,,f,,,,,,t,,,,,t,,,,,,,,,,,T,Landaln
Grtest,,f,,,,,,,,,t,,,,,,t,,,,,,,,,,T,OLB
Grtest,,f,,,,,,,,,t,,,,,,,t,,,,,,,,,T,OLB
Grtest,,f,,,t,,,,,,t,,,,,t,,,,,,,,,,,T,OLB
Grtest,,T,,,,,,,,,t,,,,,,,t,,,,,,,,,,OLB
Grtest,,T,,,,,,,,,t,,,,,,t,,,,,,,,,,,OLB
Grtest,,T,,,,,,,,,t,,,,,t,,,,,,,,,,,,OLB
Grtest,,f,,,,,,,,,t,,,,,,,,t,,,,,,,,T,MagSl
Grtest,,T,,,,,,,,,t,,,,,,,,t,,,,,,,,,MagSl
Grtest,,f,,,,,,,,,t,,,,,,,,,t,,,,,,,T,Grid
Grtest,,T,,,,,,,,,t,,,,,,,,,t,,,,,,,,Grid
Grtest,,f,,,,,,,,,f,,,,,,,,,,,,,,,,T,IMSfail
Grtest,,T,,,,,,,,,f,,,,,,,,,,,,,,,,,IMSfail
Airaln,T,t,,,,,,,,,,f,,t,,,,,,,,,,,,,,Airaln
Airaln,f,t,,,,,,,,,,f,,t,,,,f,,,T,,,,,,,DIG
Airaln,,t,,,,,,,,,,t,f,,t,,,,,,T,,,,,,,DI
Airaln,,t,,,,,t,,,,,,f,,t,,,T,,,,,,,,,,DI
Airaln,,F,,,,,t,,,,,,f,,,,,,,,,,,,,,,I
Airaln,,t,,,,,t,,,,,,f,F,,,,,,,,,,,,,,I
Airaln,,t,,,,,t,,,,,,f,,f,,,T,,,,,,,,,,I
Airaln,,t,,,,,f,,,,,,,,t,,,T,,,,t,,,,,,UDI
Airaln,,F,,,,,f,,,,,,,,,,,,,,,,,,,,,OLB
